;Latitude;Longitude
REWE Filiale Neumarkt 9-15 in 01662 Meissen;511.596.535;134.726.513
REWE Filiale Breitenfelder Str. 1 A in 04155 Leipzig;513.611.042;123.605.533
REWE Filiale Paunsdorfer Allee 1 in 04329 Leipzig;513.483.642;124.777.518
REWE Filiale Gorkistr. 55 in 04347 Leipzig / Schoenefeld-Abtnaundorf;513.561.465;124.161.364
REWE City Filiale Georg-Schumann-Str. 60 in 04155 Leipzig;513.620.657;123.684.269
REWE Markt Uwe Zschorn oHG Filiale Wittenberger Str. 83 in 04129 Leipzig/Eutritzsch-Eutritzsch;513.644.134;123.857.215
REWE Filiale Otto-von-Guericke-Str. 1 in 04451 Borsdorf;513.546.659;12.543.318
REWE Filiale Merseburger Strasse 25 in 04435 Schkeuditz;513.922.895;122.104.089
REWE Filiale Rosenowstr. 30b in 04357 Leipzig / Mockau;513.768.912;124.024.603
REWE Filiale Mockauer Str. 123 in 04357 Leipzig / Mockau-Nord-Mockau-Nord;513.753.454;124.125.132
REWE Filiale Robert-Koch-Str. 32 in 04435 Schkeuditz;513.998.788;122.167.784
REWE Filiale Travemuender Str. 3 in 01109 Dresden OT Klotzsche-Klotzsche;511.200.358;13.769.183
REWE Filiale Merseburger Str. 399 in 06132 Halle (Saale), Stadt;514.312.425;119.847.486
REWE Filiale Dresdener Str. 59 in 04808 Wurzen;513.660.692;127.464.869
REWE Thomas Wietasch  oHG Filiale Frau-Von-Selmnitz-Str. 4 in 06110 Halle;514.573.905;119.803.785
REWE Filiale Karl-Liebknecht-Str. 29 a in 06526 Sangerhausen;51.464.398;112.924.814
REWE Filiale Liebenauer Str. 62-64 in 06110 Halle (Saale);514.650.184;119.793.946
REWE Filiale Torstr. 39-41 in 06110 Halle;514.739.672;119.617.591
REWE Filiale Hettstedter Str. 2 in 06124 Halle (Saale);514.781.735;119.116.185
REWE Nahkauf Richter Filiale Cloppenburger Str. 34-34 in 06126 Halle (Saale)-Nietleben;514.805.773;118.995.288
REWE Nahkauf Richter Filiale Hans-Dietrich-Genscher-Platz 1 in 06112 Halle-Diemitz;514.771.859;119.873.512
REWE Filiale Maxim-Gorki-Str. 9 in 01844 Neustadt/Sachsen;51.023.999;142.044.054
REWE Filiale Delitzscher Str. 120 in 06116 Halle / Bueschdorf;514.779.191;120.230.976
REWE Filiale Lindenstr. 2 in 04774 Dahlen;513.634.151;129.969.836
